anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
2015,Ecuador,ECU,Fase de grupos,Derrota,1,18,2
2015,Estados Unidos,USA,Fase de grupos,Empate,0,19,1
2015,Suecia,SWE,Fase de grupos,Empate,0,19,2
2015,Japón,JPN,Fase de grupos,Victoria,2,20,1
2015,Camerún,CMR,Fase de grupos,Derrota,1,20,2
2015,Francia,FRA,Fase de grupos,Derrota,0,21,1
2015,Colombia,COL,Fase de grupos,Victoria,2,21,2
2015,Brasil,BRA,Fase de grupos,Victoria,1,22,1
2015,España,ESP,Fase de grupos,Derrota,0,22,2
2015,Inglaterra,ENG,Fase de grupos,Victoria,2,23,1
2015,México,MEX,Fase de grupos,Derrota,1,23,2
2015,Corea del Sur,KOR,Fase de grupos,Empate,2,24,1
2015,Costa Rica,CRC,Fase de grupos,Empate,2,24,2
2015,Tailandia,THA,Fase de grupos,Derrota,0,25,1
2015,Alemania,GER,Fase de grupos,Victoria,4,25,2
2015,Costa de Marfil,CIV,Fase de grupos,Derrota,1,26,1
2015,Noruega,NOR,Fase de grupos,Victoria,3,26,2
2015,Países Bajos,NED,Fase de grupos,Empate,1,27,1
2015,Canadá,CAN,Fase de grupos,Empate,1,27,2
2015,República Popular China,CHN,Fase de grupos,Empate,2,28,1
2015,Nueva Zelanda,NZL,Fase de grupos,Empate,2,28,2
2015,Ecuador,ECU,Fase de grupos,Derrota,0,29,1
2015,Japón,JPN,Fase de grupos,Victoria,1,29,2
2015,Suiza,SUI,Fase de grupos,Derrota,1,30,1
2015,Camerún,CMR,Fase de grupos,Victoria,2,30,2
2015,Nigeria,NGA,Fase de grupos,Derrota,0,31,1
2015,Estados Unidos,USA,Fase de grupos,Victoria,1,31,2
2015,Australia,AUS,Fase de grupos,Empate,1,32,1
2015,Suecia,SWE,Fase de grupos,Empate,1,32,2
2015,México,MEX,Fase de grupos,Derrota,0,33,1
2015,Francia,FRA,Fase de grupos,Victoria,5,33,2
2015,Inglaterra,ENG,Fase de grupos,Victoria,2,34,1
2015,Colombia,COL,Fase de grupos,Derrota,1,34,2
2015,Costa Rica,CRC,Fase de grupos,Derrota,0,35,1
2015,Brasil,BRA,Fase de grupos,Victoria,1,35,2
2015,Corea del Sur,KOR,Fase de grupos,Victoria,2,36,1
2015,España,ESP,Fase de grupos,Derrota,1,36,2
2015,Alemania,GER,Octavos de final,Victoria,4,37,1
2015,Suecia,SWE,Octavos de final,Derrota,1,37,2
2015,República Popular China,CHN,Octavos de final,Victoria,1,38,1
2015,Camerún,CMR,Octavos de final,Derrota,0,38,2
2015,Brasil,BRA,Octavos de final,Derrota,0,39,1
2015,Australia,AUS,Octavos de final,Victoria,1,39,2
2015,Francia,FRA,Octavos de final,Victoria,3,40,1
2015,Corea del Sur,KOR,Octavos de final,Derrota,0,40,2
2015,Canadá,CAN,Octavos de final,Victoria,1,41,1
2015,Suiza,SUI,Octavos de final,Derrota,0,41,2
